name,slug,image,price,description,features,category_id,status,created_at,last_modified
SAMSUNG Galaxy A03s,1,/images/productos/samsung/galaxy_a03s/1.jpg`/images/productos/samsung/galaxy_a03s/1.jpg`/images/productos/samsung/galaxy_a03s/1.jpg`/images/productos/samsung/galaxy_a03s/1.jpg`/images/productos/samsung/galaxy_a03s/1.jpg,429900,"El Galaxy A03s provee una batería de 5000 mAh que te permitirá tener más duración sin tener que cargarla tan a menudo, también cuenta con una gran pantalla de 6.5"" que te permitirá disfrutar gran variedad de contenido con una experiencia inmersiva, y con su triple cámara trasera podrás capturar tu día a día tal cual tu lo ves.","Pantalla Infinity-V-Disaplay de 6.5""`Batería de 5000 mAh`Triple cámara trasera con macro cámara y depth cámara`Sonido Dolby ATMOS para una experiencia inmersiva`Diseño ergonómico",1,activo,24/11/2021,24/11/2021
XIAOMI REDMI 10,2,/images/productos/xiaomi/redmi_10/1.jpg`/images/productos/xiaomi/redmi_10/1.jpg`/images/productos/xiaomi/redmi_10/1.jpg`/images/productos/xiaomi/redmi_10/1.jpg`/images/productos/xiaomi/redmi_10/1.jpg,699900,"Con el nuevo Redmi 10 tendrás la total seguridad que todos tus momentos serán especiales gracias a su alta resolución de 50MP en su cámara principal que harán que todos tus recuerdos tengan colores vivos y reales, complementados con 3 cámaras para que no te piedras de ningún detalle, Si lo que te gusta es ver películas, series o videos, tendrás la gran ventaja de contar con una gran pantalla de 6.5 pulgadas que se complementan con una tasa de refresco de 90Hz haciéndolo uno de los smartphones más económicos con esta característica, En la parte del rendimiento cuanta con un procesador MediaTek Helio G88 el cual podrás usar cualquier aplicación tranquilamente. La batería de 5000 mAh con carga rápida de 18W (Cargador incluido) te permitirá llegar hasta el final del día con carga de sobra.","Cámara cuádruple de 50Mp, alta calidad al mejor precio`Pantalla de 90Hz, disfruta mejores experiencias en juegos`Procesador MediaTek G88, poderoso en todo momento`Doble altavoz, para que disfrutes de sonido estéreo`Batería de 5000mAh, llega al final del día con 1 sola carga",2,inactivo,24/11/2021,24/11/2021
MOTOROLA E6I,3,/images/productos/motorola/e6i/1.jpg`/images/productos/motorola/e6i/1.jpg`/images/productos/motorola/e6i/1.jpg`/images/productos/motorola/e6i/1.jpg`/images/productos/motorola/e6i/1.jpg,364900,"Explora un nuevo mundo con el MOTO E6i de MOTOROLA.| Una variante del Moto E6 corriendo Android 10 Go Edition, con una pantalla HD+ de 6.1 pulgadas y potenciado por un procesador Unisoc de 8 núcleos, acompañado de 2GB de memoria RAM y 32GB de almacenamiento interno. En cuanto a cámaras, captura los mejores momentos con una cámara dual de 13MP + 2MP en su posterior y cámara frontal de 5 MP, posee una batería de 3000 mAh que provee la energía para disfrutar de los juegos y tus contenidos por muchas más horas. Aprovecha, ¡lleva el tuyo ahora!","Pantalla Max Vision HD+, obtén más campo de visualización`Rendimiento sin retrasos con procesador OctaCore y 2GB RAM`Acceso super rápido a través del sensor de huella",3,activo,24/11/2021,24/11/2021
VIVO Y51,4,/images/productos/vivo/y51/1.jpg`/images/productos/vivo/y51/1.jpg`/images/productos/vivo/y51/1.jpg`/images/productos/vivo/y51/1.jpg`/images/productos/vivo/y51/1.jpg,779900,"Las características que más te gustan en un mismo celular, RAM 8GB +128GB más rapidez y memoria para guardar las fotos o videos que tomes con tu increíble cámara de 48MP, puedes crear obras maestras hasta en ambientes de poca luz. Disfruta de su gran batería de 5000 mAh + carga rápida 18W.",RAM 8GB+ 128GB`5000 mAh+ Carga rápida 18W`Cámara principal de 48MP`Toma videos ultra estables`Exclusivo sistema Multi-Turbo 4.0,4,activo,24/11/2021,24/11/2021
NOKIA C20,5,/images/productos/nokia/c20/1.jpg`/images/productos/nokia/c20/1.jpg`/images/productos/nokia/c20/1.jpg`/images/productos/nokia/c20/1.jpg`/images/productos/nokia/c20/1.jpg,369900,"Con diseño europeo y calidad única NOKIA no solo se ve genial si no que también está preparado para los pequeños golpes de la vida. Gracias a la duración de la batería de todo un día te permitirá hacer todo lo que amas por más tiempo , ya sea escuchar tu música o ver tus videos favoritos, mientras que su gran pantalla hace todo se vea aún mejor. Todo esto con un procesador octa-core, lo último de Android 11 Go y siempre seguro con actualizaciones mensuales de parches de seguridad durante 2 años.",Tendrás selfies más brillantes con su flash frontal,5,inactivo,24/11/2021,24/11/2021
ZTE BLADE L8,6,/images/productos/zte/blade/l8/1.jpg`/images/productos/zte/blade/l8/1.jpg`/images/productos/zte/blade/l8/1.jpg`/images/productos/zte/blade/l8/1.jpg`/images/productos/zte/blade/l8/1.jpg,189900,"Diseño clásico, confortable y accesible. Conoce el ZTE BLADE L8.| Celular alimentado por el chipset Spreadtrum SC7731E, 1 GB de RAM y 32 GB de almacenamiento interno para que guardes todos tus recuerdos y contenidos multimedia. Viene con una batería de Li-Ion 2000 mAh. Cuenta con una pantalla TFT de 5"" con resolución de 480 x 960 px. Diviértete y mantente siempre conectado, ¡lleva el tuyo ahora!","Alto rendimiento gracias a su procesador Quad-core CPU`Dual SIM, tu número personal y laboral en el mismo teléfono`Android 9 Pie (Go edition), experiencia más rápida y fluida",6,inactivo,24/11/2021,24/11/2021
REALME C11,7,/images/productos/realme/c11/1.jpg`/images/productos/realme/c11/1.jpg`/images/productos/realme/c11/1.jpg`/images/productos/realme/c11/1.jpg`/images/productos/realme/c11/1.jpg,379900,"Disfruta una gran tecnología por muy poco, conoce el modelo Realme C11 2021. La versión de gama de entrada, pero igual de potente llega para cumplir con todo lo que buscas en un Smartphone. Con una increíble pantalla de 6,5"" HD+ para mejorar tu experiencia visual. Batería de 5000mAh que te permite disfrutar de cualquier entretenimiento con una sola carga. Cámaras de 8MPX y 5MPX con IA para tomar fotografías con una calidad increíble, logrando excelentes colores y detalles. ¡Compra el tuyo ahora!","Gran Pantalla 6.5"" para ver mejor tus películas y videos`Buen rendimiento y capacidad para todas tus tareas`Bandeja que te permite hasta 3 tarjetas`Carga Inversa que te permite darle carga a otros equipos`Gran Batería de 5000 mAh, obtén hasta 23 horas corridas de video en Youtube",7,activo,24/11/2021,24/11/2021
HUAWEI Y5P,8,/images/productos/huawei/y5p/1.jpg`/images/productos/huawei/y5p/1.jpg`/images/productos/huawei/y5p/1.jpg`/images/productos/huawei/y5p/1.jpg`/images/productos/huawei/y5p/1.jpg,329900,"Sumérgete en la experiencia envolvente de la pantalla FullView HD de 5,45 pulgadas del nuevo HUAWEI Y5p y disfruta plenamente de las maravillosas imágenes que podrás capturar con su cámara trasera HD de 8MP. Cuenta con 12 meses de garantía extendida, 6 meses de protección para tu pantalla. Su batería de 3.020 mAh te permitirá continuar tranquilamente tu vida sin estar pensando en cargar el teléfono y sus 32GB expansivos a 512GB te permiten guardar aplicaciones, fotos y videos. ¡Aquiere el tuyo!",Pantalla Full View completa experiencia de pantalla`Tecnología de descanso visual certificado`Sistema de optimización de memoria EROFS`Incluye la tienda de aplicaciones: AppGallery,8,activo,24/11/2021,24/11/2021
ALCATEL 1B,9,/images/productos/alcatel/1b/1.jpg`/images/productos/alcatel/1b/1.jpg`/images/productos/alcatel/1b/1.jpg`/images/productos/alcatel/1b/1.jpg`/images/productos/alcatel/1b/1.jpg,349900,"Disfruta de una experiencia de usuario optimizada y ejecuta múltiples tareas a toda velocidad con Android™ 10 (Go Edition) y el procesador de cuatro núcleos del Alcatel 1B. Mejora aún más el rendimiento con un solo toque gracias a Smart Manager. Despreocúpate todo el día y haz mucho más gracias a su batería de larga duración de 3000 mAh. Consigue ayuda al instante con el botón especial del Asistente de Google. Disfruta de tu contenido sin límites en la pantalla panorámica HD+ de 5,5 pulgadas del Alcatel 1B.","Reconocimiento facial para dar mas seguridad a tu celular`Batería de 3000mAh que permitirá hablar + 11,6hs seguido`Amplia memoria de 32GB + 2GB para almacenar lo que quieras",9,inactivo,24/11/2021,24/11/2021
KALLEY SILVER MAX PRO,10,/images/productos/kalley/silver_max_pro/1.jpg`/images/productos/kalley/silver_max_pro/1.jpg`/images/productos/kalley/silver_max_pro/1.jpg`/images/productos/kalley/silver_max_pro/1.jpg`/images/productos/kalley/silver_max_pro/1.jpg,399900,"El Color Verde con Efecto 3D que te cautivará. El Kalley Silver Max Pro tiene una pantalla 6,5” IPS desarrollado para los que disfrutan de los mejores detalles de su contenido, con Android 11 y sus mejores funciones. Además, tiene el Chipset A25 de MTK, cámara con Inteligencia Artificial y más funciones impresionantes para que tener la mejor experiencia. Accesorios incluidos Cargador Tipo C, Audífonos, protector de silicona y vidrio templado. Conectividad 4GLTE conexión estable y rápida, Bluetooth V5.0 menor consumo energético y fluidez, Wifi Dual Band 2,4Ghz/5Ghz más conexión más versátil y rápida con cualquier tipo de Routers.","Pantalla 6.5”HD+ IPS Colores reales/Detalles excepcionales`RAM3GB/ROM 32GB Expandible 256GB,Gran rendimiento y espacio`Mediatek A25 Octa-Core ejecuta tus tareas simultáneamente.`Batería de 5.000 mAh Tipo C, hasta 20H en uso cotidiano.`Conectividad 4G Bluetooth V5.0 y Wifi Dual Band 2,4Ghz/5Ghz",10,activo,24/11/2021,24/11/2021
